number,title,user,state,date_created,date_closed,numcomments,ispull
45,"Issues 36 44",jpivarski,closed,2018-11-28T17:26:35Z,2018-11-28T21:55:39Z,2,True
44,"flatten an empty jagged array",jpivarski,closed,2018-11-28T16:40:44Z,2018-11-28T17:27:11Z,1,False
43,"__getitem__ string handling with maybemixin of self.__class__ mixed t\u2026",jpivarski,closed,2018-11-28T15:10:33Z,2018-11-28T15:30:02Z,1,True
42,"follow-up on PR #37, applying the same logic to all awkward classes",jpivarski,closed,2018-11-27T14:03:43Z,2018-11-27T20:12:17Z,0,True
41,"Issue 38",jpivarski,closed,2018-11-27T13:28:58Z,2018-11-27T13:40:38Z,0,True
40,"implemented `astype` for all array classes",jpivarski,closed,2018-11-27T12:55:28Z,2018-11-27T13:39:30Z,0,True
39,"Feature request: astype",henryiii,closed,2018-11-27T11:11:57Z,2018-11-27T13:00:06Z,1,False
38,"Jagged array reductions fail after masking on first dimension",benkrikler,closed,2018-11-27T04:51:24Z,2018-11-27T13:29:11Z,2,False
37,"Pass method mixins through JaggedArray __getitem__",nsmith-,closed,2018-11-21T16:24:08Z,2018-11-27T13:44:34Z,1,True
36,"argpairs behavior not as expected",nsmith-,closed,2018-11-20T23:15:44Z,2018-11-28T17:27:00Z,3,False
35,"Issue 33",jpivarski,closed,2018-11-19T21:39:13Z,2018-11-19T22:28:56Z,1,True
34,"Resolves issue #31",jpivarski,closed,2018-11-19T16:30:42Z,2018-11-19T18:00:10Z,0,True
33,"JaggedArray.pairs fails for n>=24",nsmith-,closed,2018-11-19T02:22:56Z,2018-11-19T21:42:58Z,3,False
32,"Fixed concat and concatenate",guitargeek,closed,2018-11-15T18:59:29Z,2018-11-19T19:37:08Z,8,True
31,"accessing columns with JaggedArray elements without a for loop",pibion,closed,2018-11-14T14:49:34Z,2018-11-19T18:04:04Z,6,False
30,"Interfacing between pandas Muiltiindex dataframe and JaggedArrays",shane-breeze,closed,2018-11-11T20:21:56Z,2018-11-11T21:00:14Z,9,False
29,"Feature persist table views",jpivarski,closed,2018-11-01T15:41:17Z,2018-11-01T16:01:31Z,0,True
28,"Issue 24",jpivarski,closed,2018-10-29T21:07:29Z,2018-10-29T21:28:45Z,0,True
27,"Issue 15",jpivarski,closed,2018-10-29T20:45:19Z,2018-10-29T21:07:07Z,0,True
26,"fixes #19: implement __array__ with fromiter (usually) or array(list(self)) to invoke the iterator",jpivarski,closed,2018-10-29T20:16:34Z,2018-10-29T20:44:16Z,0,True
25,"Subschemas in serialization",jpivarski,closed,2018-10-29T11:21:10Z,2019-07-09T11:45:19Z,0,False
24,"In serialization, check for tojson, fromjson methods on the object",jpivarski,closed,2018-10-29T11:12:23Z,2018-10-29T21:07:42Z,1,False
23,"Fixing tuple check for persist",henryiii,closed,2018-10-28T15:22:48Z,2018-10-29T19:27:44Z,0,True
22,"Adding test for hdf5",henryiii,closed,2018-10-28T14:48:01Z,2018-10-29T19:57:17Z,7,True
21,"Append missing",henryiii,closed,2018-10-26T22:20:06Z,2018-10-29T19:41:30Z,6,False
20,"Types need a suite of unit tests",jpivarski,closed,2018-10-26T19:22:38Z,2019-07-09T11:44:56Z,0,False
19,"numpy.array(jaggedarray) causes infinite loop",jpivarski,closed,2018-10-26T19:20:56Z,2018-10-29T20:16:59Z,4,False
18,"Feature arrow",jpivarski,closed,2018-10-26T16:27:23Z,2018-10-26T19:09:11Z,0,True
17,"Saving a jagged array",henryiii,closed,2018-10-25T13:43:00Z,2018-10-25T17:41:27Z,13,False
16,"Documentation on Jagged array",henryiii,closed,2018-10-25T13:28:14Z,2018-10-26T16:27:38Z,1,False
15,"UnionArray or maybe SparseArray computes incorrect ufuncs",jpivarski,closed,2018-10-24T21:21:10Z,2018-10-29T20:45:30Z,1,False
14,"persistence",jpivarski,closed,2018-10-24T21:04:51Z,2018-10-24T21:24:15Z,0,True
13,"Conversion of JaggedArray to numpy array broken",kreczko,closed,2018-10-24T18:28:38Z,2018-10-24T20:08:55Z,3,False
12,"fix fromtags order of operations, closing #8",jpivarski,closed,2018-10-16T12:18:01Z,2018-10-16T12:53:49Z,0,True
11,"implemented fromindex (fromsubentry), closing #10",jpivarski,closed,2018-10-16T11:47:57Z,2018-10-16T12:17:03Z,0,True
10,"Add a `fromsubentry` helper method to JaggedArray",benkrikler,closed,2018-10-16T01:13:38Z,2018-10-16T11:53:44Z,3,False
9,"awkward-array of TLorentzVectors from numpy arrays",dguest,closed,2018-10-15T07:51:34Z,2018-10-15T11:50:16Z,1,False
8,"test_union_ufunc is flaky",felixonmars,closed,2018-10-14T10:07:44Z,2018-10-16T12:18:47Z,2,False
7,"Finish implementation",jpivarski,closed,2018-10-12T16:59:37Z,2018-10-12T17:02:33Z,0,True
6,"First 0.1.x release: jagged, table, object, indexed, and chunked are done",jpivarski,closed,2018-10-04T17:15:21Z,2018-10-04T18:13:34Z,0,True
5,"ObjectArray needs flatten()",jpivarski,closed,2018-09-28T20:42:03Z,2018-10-29T20:46:20Z,1,False
4,"awkward.type.Type should have a representation made out of Python builtin types",jpivarski,closed,2018-09-28T20:28:52Z,2018-10-29T20:46:46Z,0,False
3,"Add combinations 2",jpivarski,closed,2018-07-12T11:31:05Z,2018-07-12T11:44:18Z,0,True
2,"Fixed typo",reikdas,closed,2018-07-11T16:28:39Z,2018-07-12T05:50:14Z,0,True
1,"Add combinations",Jayd-1234,closed,2018-06-28T13:34:39Z,2018-07-12T11:33:53Z,3,True
